epoch,train_loss,train_acc,val_loss,val_acc
1,0.7734290538406372,0.8983,0.7037766057014465,0.9276
2,0.6461348868560791,0.95042,0.6586258019447326,0.9393
3,0.6143281799507141,0.96216,0.6606319057464599,0.939
4,0.5871617302322387,0.97284,0.648433995437622,0.9402
5,0.5666156598281861,0.97988,0.6227309010505676,0.9514
6,0.5492265032196045,0.98712,0.6320363065719604,0.9466
7,0.5396610131072999,0.98958,0.6125511040687561,0.9562
8,0.5261637972831726,0.99406,0.6083086569786071,0.9557
9,0.5187699787330627,0.99666,0.5944268459320068,0.9629
10,0.5132064107322692,0.99802,0.5941404993057251,0.9603
11,0.5086597765159607,0.9992,0.5865599939346313,0.9638
12,0.5068280380821228,0.99952,0.5847467120170593,0.9655
13,0.5057012979507446,0.99966,0.5828230358123779,0.9644
14,0.5046758514976502,0.99982,0.5817553544998169,0.9659
15,0.5045090475654602,0.9999,0.5821134948730469,0.9657
