epoch,train_loss,train_acc,val_loss,val_acc
1,0.3539301399230957,0.9073,0.2711278412818909,0.9708
2,0.27451711683273317,0.9664,0.2613516094684601,0.9778
3,0.26942585101127625,0.97105,0.2572879346370697,0.9788
4,0.2649262181758881,0.9737,0.2563956893205643,0.9804
5,0.26532197499275206,0.9729,0.25459805908203126,0.9818
6,0.26457761859893797,0.97355,0.2512726591110229,0.9824
7,0.2621495454311371,0.97425,0.25269123067855837,0.9824
8,0.261580850315094,0.97525,0.25123396987915037,0.9836
9,0.26171526634693143,0.97535,0.25079813632965087,0.9852
10,0.26159941301345824,0.9752,0.25031936044692993,0.9836
11,0.2597143671512604,0.9777,0.24984760489463806,0.9832
12,0.26121828269958497,0.9766,0.2511096922397614,0.9832
13,0.25973110122680665,0.9759,0.2511242574930191,0.9826
14,0.2596453207015991,0.97645,0.2501850750923157,0.9832
